sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,8,1,-1,0.00,0.00,0.00,0.00,833914.17,285895.61,731607.74,936220.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264,1302.59,325.66,1186.06,1419.13
RSA,None,8,2,-1,155039.27,130215.37,108442.29,201636.24,1468422.37,357292.95,1340566.73,1596278.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520,656.07,148.06,603.09,709.05
RSA,None,8,3,-1,228996.53,162830.82,170728.27,287264.79,2135499.47,425629.22,1983190.01,2287808.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776,443.93,90.43,411.57,476.28
RSA,None,8,4,-1,477619.13,513553.80,293846.27,661392.00,2815455.17,474354.98,2645709.42,2985200.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032,322.38,70.29,297.23,347.54
RSA,None,8,5,-1,482271.37,384463.17,344692.99,619849.74,3492632.53,547200.31,3296819.42,3688445.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1288,262.22,49.46,244.52,279.92
RSA,None,8,6,-1,410678.10,332115.60,291832.06,529524.14,3976345.07,464252.11,3810214.58,4142475.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1544,232.86,29.29,222.38,243.34
RSA,None,8,7,-1,667856.27,458390.99,503823.16,831889.38,4782680.30,682155.76,4538574.00,5026786.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1800,189.29,30.50,178.37,200.20
RSA,None,8,8,-1,1866843.97,740124.97,1601993.65,2131694.28,8484392.17,2561717.47,7567693.34,9401090.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2056,103.87,26.61,94.34,113.39
RSA,None,16,1,-1,0.00,0.00,0.00,0.00,1334405.90,361206.05,1205149.97,1463661.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272,798.54,192.85,729.53,867.55
RSA,None,16,2,-1,260940.20,149348.40,207496.56,314383.84,2381435.27,389463.27,2242067.63,2520802.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528,390.75,68.19,366.35,415.15
RSA,None,16,3,-1,559345.57,418338.82,409644.94,709046.19,3601476.50,755947.12,3330964.30,3871988.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,784,254.60,56.33,234.44,274.75
RSA,None,16,4,-1,769180.30,512085.55,585932.84,952427.76,5517671.93,1576360.78,4953578.47,6081765.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1040,173.99,50.94,155.76,192.22
RSA,None,16,5,-1,413000.00,152823.65,358312.76,467687.24,4792022.17,320648.75,4677279.49,4906764.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1296,193.34,14.92,188.00,198.68
RSA,None,16,6,-1,618163.10,216427.06,540715.67,695610.53,5995022.40,485142.61,5821416.35,6168628.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1552,152.55,14.10,147.50,157.59
RSA,None,16,7,-1,1131401.87,486901.70,957166.33,1305637.40,7466129.97,560368.04,7265604.84,7666655.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1808,117.79,13.41,112.99,122.59
RSA,None,16,8,-1,909893.77,535392.85,718305.90,1101481.64,6012495.33,1715211.31,5398714.85,6626275.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2064,156.48,41.20,141.74,171.22
RSA,None,32,1,-1,0.00,0.00,0.00,0.00,799634.17,270607.87,702798.38,896469.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288,1361.12,348.90,1236.27,1485.97
RSA,None,32,2,-1,167546.30,175846.05,104620.60,230472.00,1427425.53,279490.06,1327411.30,1527439.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,544,664.53,148.01,611.56,717.49
RSA,None,32,3,-1,291163.90,327247.20,174059.99,408267.81,2227968.97,636112.92,2000338.88,2455599.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800,436.53,114.73,395.48,477.59
RSA,None,32,4,-1,268097.93,173804.60,205902.76,330293.11,2583551.20,235342.55,2499334.95,2667767.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1056,355.77,41.19,341.03,370.51
RSA,None,32,5,-1,328279.83,175993.67,265301.31,391258.36,3207721.23,339146.65,3086359.16,3329083.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1312,287.33,33.42,275.37,299.29
RSA,None,32,6,-1,395833.13,211283.39,320226.34,471439.92,3835933.90,363698.53,3705786.05,3966081.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568,239.54,25.68,230.35,248.73
RSA,None,32,7,-1,532689.80,299286.41,425591.54,639788.06,4573371.67,382656.94,4436439.64,4710303.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1824,198.55,22.20,190.61,206.49
RSA,None,32,8,-1,583327.93,257735.91,491098.32,675557.54,5250973.27,454982.44,5088159.89,5413786.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2080,173.43,18.03,166.98,179.88
RSA,None,64,1,-1,0.00,0.00,0.00,0.00,685333.63,222913.69,605564.99,765102.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320,1540.59,266.82,1445.11,1636.07
RSA,None,64,2,-1,133811.53,123159.30,89739.54,177883.52,1435211.77,312589.20,1323353.16,1547070.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576,670.86,137.20,621.76,719.95
RSA,None,64,3,-1,222428.77,203146.68,149733.66,295123.87,2034057.50,314040.17,1921679.67,2146435.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,832,459.57,77.36,431.89,487.26
RSA,None,64,4,-1,294268.43,232017.31,211242.11,377294.76,2635469.03,346278.49,2511554.87,2759383.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1088,351.00,52.41,332.25,369.76
RSA,None,64,5,-1,377488.07,306654.28,267753.24,487222.89,3334297.97,486759.94,3160113.16,3508482.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1344,277.50,42.63,262.25,292.76
RSA,None,64,6,-1,322176.07,76137.56,294930.59,349421.54,3778940.83,313167.94,3666875.13,3891006.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1600,245.55,19.71,238.49,252.60
