sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,8,1,-1,0.00,0.00,0.00,0.00,648055.63,212636.58,571964.61,724146.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264,1608.76,213.02,1532.53,1684.99
RSA,None,8,2,-1,59714.37,41492.70,44866.40,74562.34,1829593.10,1293491.98,1366722.94,2292463.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520,666.15,233.23,582.68,749.61
RSA,None,8,3,-1,80513.43,37603.91,67057.05,93969.82,1819319.57,196073.05,1749155.73,1889483.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776,532.14,52.07,513.51,550.77
RSA,None,8,4,-1,124657.27,46090.85,108163.87,141150.67,2499629.93,253037.96,2409081.46,2590178.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032,384.87,36.31,371.87,397.86
RSA,None,8,5,-1,160508.17,51632.05,142031.87,178984.46,3194395.97,281883.32,3093525.32,3295266.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1288,300.52,27.06,290.84,310.21
RSA,None,8,6,-1,206729.07,59943.62,185278.52,228179.62,3812595.20,320383.90,3697947.29,3927243.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1544,250.63,20.87,243.16,258.10
RSA,None,8,7,-1,210627.80,56625.31,190364.69,230890.91,4323764.83,348248.95,4199145.55,4448384.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1800,221.94,16.87,215.91,227.98
RSA,None,8,8,-1,218133.73,12397.11,213697.48,222569.98,4817919.37,209167.64,4743069.69,4892769.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2056,198.90,8.15,195.99,201.82
RSA,None,16,1,-1,0.00,0.00,0.00,0.00,624580.60,83089.03,594847.57,654313.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272,1621.13,159.12,1564.19,1678.07
RSA,None,16,2,-1,44400.47,32531.24,32759.31,56041.62,1265669.67,108492.28,1226846.20,1304493.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528,768.51,59.54,747.21,789.82
RSA,None,16,3,-1,77258.13,32552.44,65609.39,88906.87,1891670.73,131861.68,1844484.64,1938856.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,784,510.36,34.32,498.08,522.64
RSA,None,16,4,-1,114663.93,37687.96,101177.47,128150.40,2548007.13,168307.57,2487779.04,2608235.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1040,377.29,24.91,368.37,386.20
RSA,None,16,5,-1,158948.17,50498.91,140877.36,177018.97,3250547.37,230166.87,3168183.21,3332911.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1296,294.93,21.76,287.14,302.71
RSA,None,16,6,-1,197064.60,56017.68,177018.93,217110.27,3881540.87,202308.32,3809145.77,3953935.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1552,245.94,13.89,240.97,250.91
RSA,None,16,7,-1,253537.07,91293.78,220868.01,286206.13,4597360.20,332198.58,4478484.47,4716235.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1808,207.42,15.95,201.71,213.12
RSA,None,16,8,-1,303495.03,62777.27,281030.47,325959.59,5258226.80,260305.65,5165077.62,5351375.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2064,180.33,9.90,176.78,183.87
RSA,None,32,1,-1,0.00,0.00,0.00,0.00,705474.73,139061.03,655712.38,755237.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288,1457.11,211.80,1381.32,1532.90
RSA,None,32,2,-1,39479.73,11684.04,35298.65,43660.81,1349140.63,141647.88,1298452.59,1399828.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,544,726.86,66.28,703.14,750.58
RSA,None,32,3,-1,64739.27,16818.15,58720.97,70757.56,1904379.80,116390.07,1862730.15,1946029.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800,509.52,27.78,499.58,519.46
RSA,None,32,4,-1,131732.47,51910.02,113156.70,150308.23,3184706.67,724921.18,2925296.95,3444116.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1056,317.24,70.66,291.95,342.52
RSA,None,32,5,-1,271516.10,78956.95,243261.72,299770.48,4993749.17,302599.79,4885465.22,5102033.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1312,190.72,12.42,186.28,195.16
RSA,None,32,6,-1,316030.67,57238.88,295548.00,336513.34,5913974.30,335231.92,5794013.10,6033935.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568,161.04,9.31,157.71,164.38
RSA,None,32,7,-1,385168.33,86196.63,354323.27,416013.40,7244064.40,859861.32,6936366.98,7551761.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1824,132.78,14.57,127.57,137.99
RSA,None,32,8,-1,417773.80,80214.49,389069.41,446478.19,7769177.17,465500.13,7602600.09,7935754.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2080,122.63,7.63,119.90,125.36
RSA,None,64,1,-1,0.00,0.00,0.00,0.00,984115.83,136087.27,935417.63,1032814.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320,1030.57,109.12,991.52,1069.62
RSA,None,64,2,-1,54953.27,18783.37,48231.72,61674.81,1897911.30,189404.76,1830133.68,1965688.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576,516.32,43.46,500.77,531.88
RSA,None,64,3,-1,91939.13,5446.91,89989.98,93888.29,2787149.67,188223.59,2719794.72,2854504.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,832,348.59,19.77,341.51,355.66
RSA,None,64,4,-1,168441.90,53660.25,149239.83,187643.97,3794728.20,222823.30,3714991.91,3874464.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1088,253.21,14.93,247.87,258.56
RSA,None,64,5,-1,184510.17,67827.70,160238.33,208782.00,3888243.60,988186.37,3534625.65,4241861.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1344,262.57,69.64,237.65,287.49
RSA,None,64,6,-1,193736.80,70847.54,168384.33,219089.27,3671634.00,373110.75,3538118.03,3805149.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1600,261.27,24.28,252.58,269.96
RSA,None,64,7,-1,252111.70,80142.15,223433.20,280790.20,4439754.97,359166.82,4311228.77,4568281.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1856,214.59,17.20,208.44,220.74
RSA,None,64,8,-1,286756.33,90251.06,254460.41,319052.26,5094908.00,332849.40,4975799.37,5214016.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2112,186.75,12.88,182.14,191.36
RSA,None,128,1,-1,0.00,0.00,0.00,0.00,652644.40,102425.17,615992.02,689296.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,1557.27,168.54,1496.96,1617.58
RSA,None,128,2,-1,41216.80,18942.90,34438.17,47995.43,1295458.57,119152.48,1252820.40,1338096.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640,753.90,63.25,731.26,776.53
