sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,8,1,-1,0.00,0.00,0.00,0.00,1457775.73,105210.09,1420126.78,1495424.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264,689.09,44.73,673.09,705.10
RSA,None,8,2,-1,42108.93,3006.37,41033.12,43184.75,2774565.90,80713.58,2745682.92,2803448.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520,355.31,9.82,351.79,358.82
RSA,None,8,3,-1,86970.73,10667.72,83153.34,90788.13,4145479.83,124497.65,4100928.92,4190030.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776,236.48,6.96,233.99,238.97
RSA,None,8,4,-1,148441.93,27595.60,138566.97,158316.89,5672746.50,205252.24,5599297.93,5746195.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032,172.03,6.58,169.68,174.39
RSA,None,8,5,-1,200093.43,27658.45,190195.99,209990.88,7156591.27,266580.62,7061196.62,7251985.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1288,136.13,5.30,134.23,138.03
RSA,None,8,6,-1,239028.53,22792.81,230872.23,247184.84,8477261.70,199852.00,8405745.58,8548777.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1544,114.79,2.69,113.83,115.76
RSA,None,8,7,-1,277278.73,25451.89,268170.89,286386.58,9544829.33,461566.11,9379660.02,9709998.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1800,102.06,5.29,100.17,103.95
RSA,None,8,8,-1,326117.13,28920.75,315767.98,336466.29,10272750.30,302916.88,10164352.89,10381147.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2056,94.43,2.84,93.42,95.45
RSA,None,16,1,-1,0.00,0.00,0.00,0.00,1273828.33,48884.08,1256335.39,1291321.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272,786.09,28.41,775.92,796.26
RSA,None,16,2,-1,43622.73,8665.87,40521.69,46723.78,2584044.90,88761.52,2552282.00,2615807.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528,381.04,13.55,376.19,385.89
RSA,None,16,3,-1,86539.33,13609.36,81669.29,91409.38,3894630.17,121377.01,3851195.96,3938064.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,784,251.44,8.11,248.54,254.34
RSA,None,16,4,-1,137101.20,23919.58,128541.69,145660.71,5190385.23,158644.29,5133615.10,5247155.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1040,187.90,6.19,185.69,190.12
RSA,None,16,5,-1,171744.47,16080.44,165990.15,177498.78,6439180.03,144716.35,6387393.95,6490966.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1296,151.34,3.49,150.09,152.59
RSA,None,16,6,-1,208752.80,22114.54,200839.21,216666.39,7581402.53,154928.53,7525962.07,7636843.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1552,128.43,2.78,127.43,129.42
RSA,None,16,7,-1,446223.50,48601.34,428831.73,463615.27,14568765.37,1342222.82,14088457.10,15049073.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1808,67.41,9.12,64.14,70.67
RSA,None,16,8,-1,508888.53,26778.07,499306.12,518470.94,16667795.90,176237.90,16604729.98,16730861.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2064,58.23,0.67,57.99,58.46
RSA,None,32,1,-1,0.00,0.00,0.00,0.00,2173855.13,137104.98,2124792.75,2222917.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288,461.59,26.00,452.29,470.90
RSA,None,32,2,-1,75161.17,17741.46,68812.47,81509.87,4366086.33,222804.93,4286356.61,4445816.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,544,225.75,11.48,221.64,229.86
RSA,None,32,3,-1,128500.70,46657.11,111804.67,145196.73,5170578.17,1362696.47,4682943.50,5658212.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800,202.17,53.14,183.16,221.19
RSA,None,32,4,-1,127070.80,16065.93,121321.68,132819.92,5133949.00,163713.63,5075364.83,5192533.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1056,190.28,6.25,188.04,192.52
RSA,None,32,5,-1,177075.27,17448.98,170831.23,183319.30,6598547.17,204008.06,6525543.82,6671550.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1312,147.73,4.71,146.05,149.42
